year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2023,Google Cloud,africa-south1,South Africa,ZA,ZAF,Johannesburg,,0.16,,,,,646,702.03,890.21,701.92,,,,,,,
2023,Google Cloud,asia-east1,Taiwan,TW,TWN,Taiwan,"25.0375,121.5625",0.18,,1.12,,0,451,537.64,551.90,537.76,,,,,,,
2023,Google Cloud,asia-east2,Hong Kong,HK,HKG,Hong Kong,"22.3,114.2",0.28,,,,0,360,435.36,486.38,435.36,,,,,,,
2023,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.16,,,,0,459,536.06,535.91,545.67,,,,,,,
2023,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.3,,,,0,385,370.3,549.89,357.05,,,,,,,
2023,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.35,,,,0,378,443.05,736.69,443.01,,,,,,,
2023,Google Cloud,asia-south1,Maharashtra,IN-WE,IND,Mumbai,"19.0761,72.8775",0.14,,,,0,648,746.98,832.74,762.24,,,,,,,
2023,Google Cloud,asia-south2,Uttar Pradesh,IN-NO,IND,Delhi,"28.6092,76.9798",0.29,,,,0,529,563.1,832.74,562,,,,,,,
2023,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.04,,1.16,,0,372,487.52,349.01,487.06,,,,,,,
2023,Google Cloud,asia-southeast2,Indonesia,ID,IDN,Jakarta,"-6.2507,106.869",0.13,,,,0,580,652.36,779.09,652.36,,,,,,,
2023,Google Cloud,australia-southeast1,New South Wales,AU-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.33,,,,0,501,545.01,727.59,546.1,,,,,,,
2023,Google Cloud,australia-southeast2,Victoria,AU-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",0.4,,,,0,456,498.19,548.15,514.1,,,,,,,
2023,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",0.31,,,,0,723,749.28,862.29,794.76,,,,,,,
2023,Google Cloud,europe-north1,Finland,FI,FI,Finland,"60.1708,24.9375",0.98,,1.09,,0,46,82.34,794.87,89.24,,,,,,,
2023,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,"40.3333,-3.8667",0.76,,,,0,131,153.86,363.46,154.56,,,,,,,
2023,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",0.82,,1.09,,0,122,177.58,415.75,172.79,,,,,,,
2023,Google Cloud,europe-west2,Great Britain,GB,UK,London,"51.726,-0.3",0.92,,,,0,136,187.89,424.48,200.18,,,,,,,
2023,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,"50.1106,8.6822",0.9,,,,0,345,370.93,731.22,394.14,,,,,,,
2023,Google Cloud,europe-west4,Netherlands,NL,NL,Eemshaven,"51.9167,4.5",0.8,,1.07,,0,236,283.17,501.34,292.61,,,,,,,
2023,Google Cloud,europe-west6,Switzerland,CH,CH,Zurich,"47.3744,8.5411",0.92,,,,0,59,83.8,915.49,52.58,,,,,,,
