year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2026,Amazon Web Services,af-south-1,South Africa,ZA,ZAF,Africa (Cape Town),"-33.9253,18.4239 ",,1.0,1.14,0.18,0.0,,702.03,890.21,701.92,,,9506756.0,,,,
2026,Amazon Web Services,ap-east-1,Hong Kong,HK,HKG,Asia Pacific (Hong Kong),"22.3,114.2",,1.0,1.29,0.17,0.0,,435.36,486.38,435.36,623.65,,450454876.0,,,,
2026,Amazon Web Services,ap-northeast-1,Tokyo,JP-TK,JP_TK,Asia Pacific (Tokyo),"35.6897,139.692",,1.0,1.233,1.52,0.0,,536.06,535.91,545.67,536.0,,735963932.0,,,,
2026,Amazon Web Services,ap-northeast-2,South Korea,KR,KOR,Asia Pacific (Seoul),"37.5667,126.9783",,1.0,1.29,0.17,0.0,,443.05,736.69,443.01,686.0,,620248091.0,,,,
2026,Amazon Web Services,ap-northeast-3,Kansai,JP-KN,JP_KN,Asia Pacific (Osaka),"34.6939,135.502",,1.0,1.46,0.17,0.0,,370.3,549.89,357.05,551.0,,450454876.0,,,,
2026,Amazon Web Services,ap-south-1,Maharashtra,IN-WE,IND,Asia Pacific (Mumbai),"19.0761,72.8775",,1.0,1.39,0.18,0.0,,746.98,832.74,762.24,679.0,,383567863.0,,,,
2026,Amazon Web Services,ap-south-2,Hyderabad,IN-SO,IND,Asia Pacific (Hyderabad),"17.385,78.4867 ",,1.0,1.395,0.18,0.0,,551.31,832.74,549.72,679.0,,56061382.0,,,,
2026,Amazon Web Services,ap-southeast-1,Singapore,SG,SGP,Asia Pacific (Singapore),"1.3,103.8",,1.0,1.29,1.87,0.0,,487.52,349.01,487.06,409.0,,1796931761.0,,,,
2026,Amazon Web Services,ap-southeast-2,New South Wales,AU-NSW,NEM_NSW,Asia Pacific (Sydney),"-33.8678,151.21",,1.0,1.137,0.07,0.0,,545.01,727.59,546.1,770.0,,450454876.0,,,,
2026,Amazon Web Services,ap-southeast-3,Indonesia,ID,IDN,Asia Pacific (Jakarta),"-6.175,106.8275 ",,1.0,1.257,3.15,0.0,,652.36,779.09,652.36,623.65,,405720604.0,,,,
2026,Amazon Web Services,ap-southeast-4,Victoria,AU-VIC,NEM_VIC,Asia Pacific (Melbourne),"-37.8142,144.963",,1.0,1.065,0.02,0.0,,498.19,548.15,514.1,665.0,,450454876.0,,,,
2026,Amazon Web Services,ap-southeast-5,Malaysia,MY-WM,,Asia Pacific (Malaysia),"3.1517,101.6942",,1.0,1.29,0.75,0.0,,491.96,635.77,518.55,623.65,,47989045.0,,,,
2026,Amazon Web Services,ap-southeast-6,New Zealand,NZ-NZN,,Asia Pacific (New Zealand),"-36.8521,174.7632",,1.0,1.29,0.75,0.0,,491.96,635.77,518.55,623.65,,36902.0,,,,
2026,Amazon Web Services,ap-southeast-7,Thailand,TH,,Asia Pacific (Bangkok),"13.7525,100.4935",,1.0,1.38,0.75,0.0,,491.96,635.77,518.55,623.65,,7574300.0,,,,
2026,Amazon Web Services,ca-central-1,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",,1.0,1.167,0.02,0.0,,30.51,457.85,28.68,462.0,,11387528.0,,,,
2026,Amazon Web Services,ca-west-1,,,,Canada West (Calgary),"51.0456,-114.0575",,1.0,1.09,0.0,0.0,,305.27,565.54,328.98,519.25,,5475963.0,,,,
2026,Amazon Web Services,cn-north-1,,,CHN,China (Beijing),"39.904,116.4075 ",,1.0,1.24,0.17,0.0,,,843.63,,,,306784156.0,,,,
2026,Amazon Web Services,cn-northwest-1,,,CHN,China (Ningxia),"38.4795,106.2254 ",,1.0,1.24,0.18,0.0,,,843.63,,,,306784156.0,,,,
2026,Amazon Web Services,eu-central-1,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",,1.0,1.213,0.16,0.0,,370.93,731.22,394.14,742.0,,416264483.0,,,,
