year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2024,Amazon Web Services,af-south-1,South Africa,ZA,ZAF,Africa (Cape Town),"-33.9253,18.4239 ",,,1.24,0.18,,,702.03,890.21,701.92,,,,,,,
2024,Amazon Web Services,ap-northeast-1,Tokyo,JP-TK,JP_TK,Asia Pacific (Tokyo),"35.6897,139.692",,,1.27,0.91,0.0,,536.06,535.91,545.67,,,,,,,
2024,Amazon Web Services,ap-south-1,Maharashtra,IN-WE,IND,Asia Pacific (Mumbai),"19.0761,72.8775",,,1.42,0.18,0.0,,746.98,832.74,762.24,,,,,,,
2024,Amazon Web Services,ap-south-2,Hyderabad,IN-SO,IND,Asia Pacific (Hyderabad),"17.385,78.4867 ",,,1.46,0.18,0.0,,551.31,832.74,549.72,,,,,,,
2024,Amazon Web Services,ap-southeast-1,Singapore,SG,SGP,Asia Pacific (Singapore),"1.3,103.8",,,1.32,1.68,,,487.52,349.01,487.06,,,,,,,
2024,Amazon Web Services,ap-southeast-2,New South Wales,AU-NSW,NEM_NSW,Asia Pacific (Sydney),"-33.8678,151.21",,,1.16,0.12,,,545.01,727.59,546.1,,,,,,,
2024,Amazon Web Services,ap-southeast-3,Indonesia,ID,IDN,Asia Pacific (Jakarta),"-6.175,106.8275 ",,,1.4,2.75,,,652.36,779.09,652.36,,,,,,,
2024,Amazon Web Services,ap-southeast-4,Victoria,AU-VIC,NEM_VIC,Asia Pacific (Melbourne),"-37.8142,144.963",,,1.07,0.02,,,498.19,548.15,514.1,,,,,,,
2024,Amazon Web Services,ca-central-1,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",,,1.19,0.04,0.0,,30.51,457.85,28.68,,,,,,,
2024,Amazon Web Services,ca-west-1,,,,Canada West (Calgary),"51.0456,-114.0575",,,1.17,0.08,,,,,,,,,,,,
2024,Amazon Web Services,cn-northwest-1,,,CHN,China (Ningxia),"38.4795,106.2254 ",,,1.25,0.18,0.0,,,843.63,,,,,,,,
2024,Amazon Web Services,eu-central-1,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",,,1.35,0.01,0.0,,370.93,731.22,394.14,,,,,,,
2024,Amazon Web Services,eu-north-1,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",,,1.1,0.02,0.0,,24.71,791.26,21.28,,,,,,,
2024,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),"40.3333,-3.8667",,,1.09,0.24,0.0,,153.86,363.46,154.56,,,,,,,
2024,Amazon Web Services,eu-west-1,Ireland,IE,IE,Europe (Ireland),"53.35,-6.2603 ",,,1.11,0.03,0.0,,403.4,488.25,416.03,,,,,,,
2024,Amazon Web Services,me-central-1,United Arab Emirates,AE,ARE,Middle East (UAE),"25.2631,55.2972 ",,,1.27,0.18,,,381.54,416.6,381.54,,,,,,,
2024,Amazon Web Services,me-south-1,Bahrain,BH,BHR,Middle East (Bahrain),"26.219,50.538 ",,,1.33,0.18,,,700.0,413.69,700.0,,,,,,,
2024,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (São Paulo),"-3.45,-68.95",,,1.17,0.23,,,89.55,709.62,90.41,,,,,,,
2024,Amazon Web Services,us-east-1,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",,,1.15,0.12,0.0,,396.25,557.17,396.77,,,,,,,
2024,Amazon Web Services,us-east-2,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",,,1.13,0.1,0.0,,396.25,557.0,396.77,,,,,,,
2024,Amazon Web Services,us-west-1,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"36.7783,-119.417931",,,1.18,0.51,0.0,,261.28,381.37,239.67,,,,,,,
2024,Amazon Web Services,us-west-2,BPA,US-NW-BPAT,BPA,US West (Oregon),"45.5371,-122.65 ",,,1.12,0.16,0.0,,119.76,476.66,68.82,,,,,,,
2023,Amazon Web Services,af-south-1,South Africa,ZA,ZAF,Africa (Cape Town),"-33.9253,18.4239 ",,,1.24,0.18,,,702.03,890.21,701.92,,,,,,,
2023,Amazon Web Services,ap-east-1,Hong Kong,HK,HKG,Asia Pacific (Hong Kong),"22.3,114.2",,,,0.18,,,435.36,486.38,435.36,,,,,,,
2023,Amazon Web Services,ap-northeast-1,Tokyo,JP-TK,JP_TK,Asia Pacific (Tokyo),"35.6897,139.692",,,1.32,0.18,0.0,,536.06,535.91,545.67,,,,,,,
2023,Amazon Web Services,ap-northeast-2,South Korea,KR,KOR,Asia Pacific (Seoul),"37.56,126.99",,,,0.18,,,443.05,736.69,443.01,,,,,,,
