Site Name,Project Type,City/County,State,Country,Operational Date,System Size (MW)
Amazon Onsite Solar Ohio - Akron 1,On-site Solar,Akron,Ohio,United States,2023,4.00
Amazon Onsite Solar California - Bakersfield 1,Solar + Battery,Bakersfield,California,United States,2023,5.43
Amazon Onsite Solar Ohio - West Jefferson 1,On-site Solar,Columbus,Ohio,United States,2023,5.40
Amazon Onsite Solar New York - East Syracuse 1,On-site Solar,East Syracuse,New York,United States,2021,0.72
Amazon Onsite Solar California - Milpitas 1,On-site Solar,Milpitas,California,United States,2022,0.43
Amazon Onsite Solar California - Hawthorne 1,On-site Solar,Hawthorne,California,United States,2022,0.54
Amazon Onsite Solar California - Poway 1,On-site Solar,Poway,California,United States,2023,0.90
Amazon Onsite Solar Canada - Nisku 1,On-site Solar,Nisku,Outside US,Canada,2021,0.21
Amazon Onsite Solar Arizona - Goodyear,On-site Solar,Goodyear,Arizona,United States,2023,2.84
Amazon Onsite Solar New York - Staten Island 1,On-site Solar,Staten Island,New York,United States,2021,7.09
Amazon Onsite Solar Kentucky - Hebron 1,On-site Solar,Hebron,Kentucky,United States,2023,2.41
Amazon Onsite Solar California - San Bernardino 3,Solar + Battery,San Bernardino,California,United States,2022,5.83
Amazon Onsite Solar Nevada - Henderson,On-site Solar,Henderson,Nevada,United States,2023,1.25
Amazon Onsite Solar California - Perris 2,On-site Solar,Perris,California,United States,2022,1.08
Amazon Onsite Solar Illinois - Monee 1,On-site Solar,Monee,Illinois,United States,2022,3.00
Amazon Onsite Solar Ohio - Rossford 1,On-site Solar,Rossford,Ohio,United States,2023,4.00
Amazon Onsite Solar California - Beaumont 1,On-site Solar,Beaumont,California,United States,2021,4.74
Amazon Onsite Solar California - San Diego,Solar + Battery,San Diego,California,United States,2024,5.56
Amazon Onsite Solar California - Rialto 3,On-site Solar,Bloomington,California,United States,2023,3.37
Amazon Onsite Solar California - San Bernardino 4,On-site Solar,San Bernardino,California,United States,2023,3.12
Amazon Onsite Solar California - Stockton 2,On-site Solar,Stockton,California,United States,2023,3.35
Amazon Onsite Solar California - Manteca 1,On-site Solar,Manteca,California,United States,2022,1.09
Amazon Onsite Solar California - Stockton 3,On-site Solar,Stockton,California,United States,2022,1.10
Amazon Onsite Solar California - Vacaville 2,On-site Solar,Vacaville,California,United States,2023,0.80
Amazon Onsite Solar Arizona - Tucson 1,On-site Solar,Tucson,Arizona,United States,2022,3.33
Amazon Onsite Solar Italy - Padova 1,On-site Solar,Padova,Italy,Italy,2020,0.02
Amazon Onsite Solar Spain - Rubi 1,On-site Solar,Rubi,Spain,Spain,2020,0.05
Amazon Onsite Solar Spain - Sevilla 1,On-site Solar,Sevilla,Spain,Spain,2020,0.03
