business,name,city,state,country,energyType,date,size,longitude,latitude
AWS,Amazon Solar Farm Foxhound - Virginia,Halifax,Virginia,US,Solar farm,2024,72.9,-78.748,36.866
AWS,Amazon Wind Farm Kansas - Irish Creek,Frankfort City,Kansas,US,Wind farm,2021,301.7,-96.244,39.415
AWS,Amazon Solar Farm Ohio - Nestlewood,Brown and Clermont Counties,Ohio,US,Solar farm,2023,80,-84.017,38.926
AWS,Amazon Wind Farm Kansas - Iron Star,Ford County,Kansas,US,Wind farm,2021,239,-99.89,37.65
AWS,Amazon Solar Farm Spain - Arroyadas,Spain,Spain,Spain,Solar farm,2024,20.09,-4.78,41.52
AWS,Amazon Solar Farm Spain - FV Bombarda Solar,Spain,Spain,Spain,Solar farm,2025,24.717,-4.37,42.55
AWS,Amazon Solar Farm Ohio - Great Bear,Van Wert County,Ohio,US,Solar farm,2023,46,-84.58,40.94
AWS,Amazon Wind Farm Finland - Koiramaki,Finland,Finland,Finland,Wind farm,2024,23.6,24.985,62.903
"50% AWS, 50% Amazon.com",Amazon Solar Farm France - Prechac,France,France,France,Solar farm,2023,15,-0.365,44.428
"0.4% AWS, 99.6% Amazon.com",Amazon Solar Farm Mississippi - Cane Creek,Clarke,Mississippi,US,Solar farm,2023,78.5,-88.69,32.04
AWS,Amazon Solar Farm Honshu,Japan,Japan,Japan,Solar farm,2023,38,140.376,35.705
"65% AWS, 35% Amazon.com",Amazon Solar Farm Spain - Cabrera,Seville,Spain,Spain,Solar farm,2020,149,-5.985,37.389
AWS,Amazon Solar+Wind Farm India - Gadag Koppal,India,India,India,Solar farm,2024,150,75.936,15.251
AWS,Amazon Solar Farm Ohio - Union Ridge,Licking County,Ohio,US,Solar farm,2023,108,-82.647,39.991
AWS,Amazon Solar Farm Louisiana - Oak Ridge,Morehouse,Louisiana,US,Solar farm,2023,200,-91.788,32.575
AWS,Amazon Solar Farm Australia - Gunnedah,New South Wales,Australia,Australia,Solar farm,2021,60,150.349,-30.941
"15% AWS, 55% Amazon.com, 30% Devices",Amazon Solar Farm Canada - Travers,Alberta,Alberta,Canada,Solar farm,2022,375,-112.73,50.25
AWS ,Amazon Solar Farm Indiana - Randolph,Randolph County,Indiana,US,Solar farm,2023,100,-85.135,40.035
AWS,Amazon Wind Farm Mississippi - Delta Wind,Tunica County,Mississippi,US,Wind farm,2024,184,-90.398,34.501
AWS,Amazon Solar Farm South Africa - Adams,Northern Cape Province,South Africa,South Africa,Solar farm,2022,10,23.004,-27.388
"55% AWS, 45% Amazon.com",Amazon Wind Farm UK - Kennoxhead (Phase 1),"Kennoxhead, South Lanarkshire",Scotland,United Kingdom,Wind farm,2022,60,-3.88,55.505
AWS,Indonesia Green Tariff,Indonesia,Indonesia,Indonesia,Solar farm,2024,210,111.258,-7.502
AWS,Amazon Solar Farm Spain - Energias Barranquilla,Spain,Spain,Spain,Solar farm,2025,32,-2.069999,39.63
AWS,Amazon Solar Farm Virginia - Buckingham,Buckingham County,Virginia,US,Solar farm,2017,20,-78.536,37.59
AWS,Amazon Wind Farm Texas - Montgomery Ranch,Foard and Knox County,Texas,US,Wind farm,2024,200,-99.63,33.84
AWS,Amazon Solar Farm Spain – Alamo,Spain,Spain,Spain,Solar Farm,2023,100,-4.059,40.039
AWS,Amazon Solar Farm Ohio - Hilllcrest,Brown County,Ohio,US,Solar farm,2021,200,-83.902,39.09
AWS,Amazon Solar Farm Texas - Outpost,Webb,Texas,US,Solar farm,2025,500,99.177,27.851
AWS,Amazon Solar Farm India - Rajasthan Bikaner,Rajasthan,India,India,Solar farm,2023,110,73.023,28.854
AWS,Amazon Solar Farm Greece - Macrichoria,Greece,Greece,Greece,Solar farm,2024,24,21.21,38.87
AWS,Amazon Solar Farm Ohio - Fayette,Fayette,Ohio,US,Solar farm,2024,47.5,-83.401,39.383
AWS,Amazon Solar Farm Virginia - Eastern Shore,Accomack County,Virginia,US,Solar farm,2016,80,-75.598,37.905
"90% AWS, 10% Amazon.com",Amazon Wind Farm Sweden - Hastkullen,Sweden,Sweden,Sweden,Wind farm,2022,275,17.729,63.428
AWS,Amazon Solar Farm Virginia - Crystal Hill,Halifax County,Virginia,US,Solar farm,2022,65,-78.929,36.695
AWS,Amazon Solar Farm Ohio - Ross County,Ross County,Ohio,US,Solar farm,2023,100,-83.35,39.35
AWS ,Amazon Solar Farm Mississippi – Potlatch,Scott County,Mississippi,US,Solar farm,2023,175,-89.731,32.517
AWS,Amazon Solar Farm Texas - Rio Lago,Bandera County ,Texas,US,Solar farm,2025,120,-99.112,29.757
AWS,Amazon Wind Farm Ireland - Ardderroo (Phase 1),Galway,Ireland,Ireland,Wind farm,2023,91,-8.83,53.35
AWS,Amazon Wind Farm Spain – I,Spain,Spain,Spain,Wind farm,2023,60,-1.089,40.667
AWS,Amazon Solar Farm Virginia - Axton,Pittsylvania County,Virginia,US,Solar farm,2023,200,-79.696,36.691
"20% AWS, 50% Amazon.com, 30% Devices",Amazon Wind Farm UK - Moray West,United Kingdom,United Kingdom,United Kingdom,Wind farm,2024,473,-2.758,58.126
AWS & Devices,Amazon Solar Farm Australia - Wandoan,Australia,Australia,Australia,Solar farm,2024,125,149.77,-26.27
AWS,Amazon Solar Farm Ohio - Mark Center,Defiance,Ohio,US,Solar farm,2023,90,-84.611,41.282
AWS,Amazon Solar Farm Spain - FV Almendro,Spain,Spain,Spain,Solar farm,2025,31.96,-4.35,42.06
AWS,Amazon Solar Farm Spain - Zaratan,Spain,Spain,Spain,Solar farm,2024,20.09,-4.84,41.64
"90% AWS, 10% Amazon.com",Amazon Solar Farm China - Shandong,Shandong,China,China,Solar farm,2021,100,118.88,37.67
AWS,Amazon Solar Farm Ohio - Madison Fields,Madison County,Ohio,US,Solar farm,2024,180,-83.486,40.082
AWS,Ohio Solar Project I ,Marion County,Ohio,US,Solar farm,2024,100,-83.15,40.62
AWS,Amazon Solar Farm Indiana - Crossroads,Fountain,Indiana,US,Solar farm,2025,200,-87.298,40.128
AWS,Amazon Solar Farm Spain - El Aguila,Spain,Spain,Spain,Solar farm,2025,26.88,-1.18,39.06
AWS,Amazon Solar Farm Spain - FV Sauce Solar,Spain,Spain,Spain,Solar farm,2025,27.286,-2.98,40.71
AWS,Amazon Solar Farm Virginia - Bartonsville,Frederick County,Virginia,US,Solar farm,2024,80,-78.15,39.15
AWS ,Amazon Solar Farm Kentucky - Garrard,Garrard County,Kentucky,US,Solar farm,2022,50,-84.574,37.595
AWS,Amazon Solar Farm Texas - Stoneridge,Milam County,Texas,US,Solar farm,2025,200,-97.11,30.55
AWS,Amazon Wind Farm Indiana - Fowler Ridge,Benton County,Indiana,US,Wind farm,2016,150,-87.269,40.641
AWS,Amazon Solar Farm UK - Warley,United Kingdom,United Kingdom,United Kingdom,Solar farm,2024,47,0.34,51.535
AWS,Amazon Wind Farm China – Daqing,China,China,China,Wind farm,2023,100,124.867,46.533
